YS MEMOIRE UNUSED FONT CODE ANALYSIS
==============================================================================================================

FONT CHARACTERS: 7935
GAME FILES SCANNED: 837
USED UNICODE CODES: 9402
UNUSED FONT CODES: 451

UNUSED BY CATEGORY
--------------------------------------------------------------------------------------------------------------
OTHER                    363
LATIN1                   88

==============================================================================================================
UNUSED CODES
==============================================================================================================
index= 2011 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2012 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2013 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2014 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2015 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2016 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2017 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2018 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2019 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2020 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2021 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2022 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2023 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2024 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2025 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2026 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2027 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2028 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2029 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2030 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2031 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2032 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2033 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2034 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2035 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2036 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2037 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2038 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2039 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2040 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2041 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2042 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2043 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2044 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2045 code=U+FFFFFFFF char=''           addr=0x0 CP932=
